ZMW	IdxFirst	IdxCombined	IdxSecondCandidate	IdxFirstAlt	IdxSecondAlt	ScoreFirst	ScoreCombined	ScoreSecondCandidate	ScoreFirstAlt	ScoreSecondAlt	ScoreCombinedFirst	ScoreCombinedSecond	ScoresFirst	ScoresCombined	ScoresSecondCandidate	ScoresFirstAlt	ScoresSecondAlt	ReadLengths	IdxsCombined	ClipsFirst	ClipsCombined	ClipsSecondCandidate	ClipsFirstAlt	ClipsSecondAlt	ScoreLead	SignalIncrease	NumPasses	NumAdapters	NumBadAdapters	NumBadAdapterRatio	NumScoredAdapters	NumBarcodedRegions	NumBarcodedRegionsPassed	PassedFilters	IdxFirstNamed	IdxCombinedNamed	IdxSecondCandidateNamed	IdxFirstAltNamed	IdxSecondAltNamed	IdxLowest	IdxHighest	IdxLowestNamed	IdxHighestNamed
m64089e_220615_173331/110	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	5616	8,8	17,5599	17,5599	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/113	8	8	0	0	0	94	94	0	0	0	94	94	-1,94	-1,94	-1,-1	-1,-1	-1,-1	12007	-1,8	0,11991	0,11991	0,0	0,0	0,0	100	-1	0	0.5	0	0	0.5	1	1	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/122	8	8	0	0	0	97	97	0	0	0	97	97	100,94	100,94	-1,-1	-1,-1	-1,-1	10825	8,8	17,10809	17,10809	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/128	8	8	0	0	0	97	97	0	0	0	97	97	100,94	100,94	-1,-1	-1,-1	-1,-1	14687	8,8	17,14671	17,14671	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/140	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	3794	8,8	17,3777	17,3777	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/145	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	16390	8,8	17,16373	17,16373	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/148	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	14484	8,8	17,14467	17,14467	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/155	8	8	0	0	0	97	97	0	0	0	97	97	100,94	100,94	-1,-1	-1,-1	-1,-1	4464	8,8	17,4448	17,4448	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/156	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	13591	8,8	17,13574	17,13574	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/160	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	13946	8,8	17,13929	17,13929	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/163	8	8	0	0	0	97	97	0	0	0	97	97	94,100	94,100	-1,-1	-1,-1	-1,-1	11553	8,8	16,11536	16,11536	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/168	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	17229	8,8	17,17212	17,17212	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
